xval iterations reported,name,mean_auc,sem_auc,s01_auc,s03_auc,s04_auc,s05_auc,s06_auc,s07_auc,s08_auc,s09_auc,s10_auc,s12_auc,s13_auc,s14_auc,s15_auc,s16_auc,s17_auc,s18_auc,s19_auc,s20_auc,s21_auc,s22_auc,s23_auc,s24_auc,s25_auc,s26_auc
2,conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.45855,0.021464,0.43864,0.48991,0.50865,0.48802,0.24892,0.41568,0.25924,0.25078,0.62821,0.43162,0.35474,0.42971,0.63308,0.48276,0.52525,0.53135,0.4923,0.45897,0.44581,0.56957,0.35957,0.50335,0.57104,0.48813
2,conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.46727,0.02151,0.441,0.53643,0.44102,0.49763,0.30487,0.44405,0.35188,0.32909,0.58929,0.4322,0.43676,0.37308,0.68591,0.45499,0.6094,0.47396,0.4757,0.48255,0.43165,0.50667,0.26281,0.53791,0.67729,0.43834
2,conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.51482,0.01778,0.48703,0.55433,0.44253,0.40925,0.39803,0.42403,0.46078,0.59161,0.62415,0.50104,0.5748,0.41003,0.682,0.46939,0.60406,0.41852,0.63672,0.5301,0.48527,0.54555,0.42848,0.58288,0.64754,0.44766
2,conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.54354,0.011312,0.47288,0.62802,0.51572,0.58693,0.50989,0.51149,0.56812,0.63088,0.59531,0.53988,0.55115,0.49463,0.61589,0.45911,0.54278,0.46,0.61589,0.57932,0.50082,0.54561,0.56887,0.51993,0.58629,0.44555
2,conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50901,0.0097862,0.43753,0.46645,0.46669,0.47431,0.53196,0.45324,0.59475,0.58836,0.49207,0.50239,0.54702,0.50598,0.55348,0.48561,0.42564,0.55243,0.5132,0.48511,0.58483,0.47446,0.53,0.48504,0.49526,0.57052
2,conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__0__1_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.44024,0.024939,0.45058,0.47345,0.59166,0.47904,0.16684,0.49852,0.34373,0.24925,0.64567,0.35286,0.35369,0.47385,0.61129,0.52936,0.43311,0.5346,0.32684,0.45697,0.29617,0.59921,0.33844,0.3842,0.5652,0.4113
2,conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.43393,0.021642,0.49194,0.47352,0.45193,0.43835,0.26537,0.44693,0.36652,0.28048,0.67093,0.27996,0.44047,0.38205,0.57428,0.5231,0.48669,0.53049,0.4116,0.46559,0.29796,0.53306,0.31608,0.30914,0.55565,0.42214
2,conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__1__0__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.47781,0.020779,0.47015,0.555,0.37842,0.48635,0.35509,0.40299,0.44456,0.56331,0.66584,0.31093,0.62617,0.45985,0.56056,0.48372,0.51958,0.47088,0.49447,0.42255,0.41063,0.60796,0.36004,0.35597,0.67238,0.38992
2,conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__1__0__0__0_te0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.54568,0.016179,0.43181,0.62256,0.47283,0.50985,0.42193,0.45896,0.58771,0.68688,0.57835,0.43349,0.66962,0.57541,0.56484,0.58067,0.50733,0.50217,0.65361,0.43935,0.56777,0.62336,0.55554,0.55331,0.62014,0.47888
2,conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__1__0__0__0_te0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.52743,0.012111,0.39978,0.60585,0.46954,0.53365,0.54096,0.52318,0.56273,0.65765,0.4939,0.52282,0.52407,0.55949,0.47415,0.51368,0.44242,0.52195,0.6101,0.4314,0.50462,0.51704,0.58955,0.53826,0.58694,0.53471
2,conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0___________0________0.33________0.34________0.33___________0_te0___________0________0.33________0.34________0.33___________0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50521,0.019156,0.45735,0.5951,0.43493,0.49056,0.41946,0.42563,0.43463,0.53088,0.61679,0.47186,0.61813,0.36507,0.68877,0.51709,0.62117,0.46642,0.58385,0.4808,0.47909,0.53069,0.32595,0.46477,0.66816,0.43789
